Year,Player1,Country1,Player2,Country2,Score1,Score2,Score
1932,Aage Leidersdorff,DEN,Eduardo Prieto Souza,MEX,3,3,3 – 3
1932,Bernard Schmetz,FRA,André Poplimont,BEL,3,3,3 – 3
1932,Raúl Saucedo,ARG,George Calnan,USA,3,3,3 – 3
1932,George Calnan,USA,Pat Farrell,CAN,3,3,3 – 3
1932,Giancarlo Cornaggia-Medici,ITA,Stig Lindström,SWE,3,3,3 – 3
1932,Saverio Ragno,ITA,Raúl Saucedo,ARG,3,3,3 – 3
1932,Doris de Jong,NED,Tibor Benkő,HUN,3,3,3 – 3
1932,George Calnan,USA,Paul de Graffenried,SUI,3,3,3 – 3
1932,Giancarlo Cornaggia-Medici,ITA,Carlo Agostoni,ITA,3,3,3 – 3
1932,Giancarlo Cornaggia-Medici,ITA,Raúl Saucedo,ARG,3,3,3 – 3
1932,Saverio Ragno,ITA,Xavier De Beukelaer,BEL,3,2,3 – 2
1932,Saverio Ragno,ITA,Sven Thofelt,SWE,3,2,3 – 2
1932,Saverio Ragno,ITA,Doris de Jong,NED,3,2,3 – 2
1932,Saverio Ragno,ITA,Bertram Markus,CAN,3,2,3 – 2
1932,Géo Buchard,FRA,Sven Thofelt,SWE,3,2,3 – 2
1932,Géo Buchard,FRA,Aage Leidersdorff,DEN,3,2,3 – 2
1932,Xavier De Beukelaer,BEL,Géo Buchard,FRA,3,2,3 – 2
1932,Xavier De Beukelaer,BEL,Eduardo Prieto Souza,MEX,3,2,3 – 2
1932,Sven Thofelt,SWE,Eduardo Prieto Souza,MEX,3,2,3 – 2
1932,Aage Leidersdorff,DEN,Doris de Jong,NED,3,2,3 – 2
1932,Aage Leidersdorff,DEN,Harold Corbin,USA,3,2,3 – 2
1932,Eduardo Prieto Souza,MEX,Doris de Jong,NED,3,2,3 – 2
1932,Eduardo Prieto Souza,MEX,Harold Corbin,USA,3,2,3 – 2
1932,Bertram Markus,CAN,Aage Leidersdorff,DEN,3,2,3 – 2
1932,Harold Corbin,USA,Doris de Jong,NED,3,2,3 – 2
1932,Carlo Agostoni,ITA,George Calnan,USA,3,2,3 – 2
1932,Bernard Schmetz,FRA,Bo Lindman,SWE,3,2,3 – 2
1932,Raúl Saucedo,ARG,Bo Lindman,SWE,3,2,3 – 2
1932,Raúl Saucedo,ARG,Gerónimo Delgadillo,MEX,3,2,3 – 2
1932,André Poplimont,BEL,Paul de Graffenried,SUI,3,2,3 – 2
1932,André Poplimont,BEL,Bo Lindman,SWE,3,2,3 – 2
1932,André Poplimont,BEL,Erik Kofoed-Hansen,DEN,3,2,3 – 2
1932,George Calnan,USA,Bo Lindman,SWE,3,2,3 – 2
1932,George Calnan,USA,Erik Kofoed-Hansen,DEN,3,2,3 – 2
1932,Paul de Graffenried,SUI,Bo Lindman,SWE,3,2,3 – 2
1932,Paul de Graffenried,SUI,Erik Kofoed-Hansen,DEN,3,2,3 – 2
1932,Pat Farrell,CAN,Gerónimo Delgadillo,MEX,3,2,3 – 2
