,Year,Player1,Country1,Player2,Country2,Score1,Score2
0,2021.0,PATRU Morgane,FRA,BIMOVA Andrea,CZE,5.0,1.0
1,2021.0,PATRU Morgane,FRA,BUDENKO Kateryna,UKR,5.0,2.0
2,2021.0,PATRU Morgane,FRA,ELZOHEIRY Mariam,EGY,5.0,2.0
3,2021.0,PATRU Morgane,FRA,WEINTRAUB Maia Mei,USA,5.0,4.0
4,2021.0,PATRU Morgane,FRA,PALUMBO Francesca,ITA,4.0,5.0
5,2021.0,PATRU Morgane,FRA,LOFMARK Linn,SWE,5.0,1.0
6,2021.0,BIMOVA Andrea,CZE,BUDENKO Kateryna,UKR,0.0,5.0
7,2021.0,BIMOVA Andrea,CZE,ELZOHEIRY Mariam,EGY,5.0,0.0
8,2021.0,BIMOVA Andrea,CZE,WEINTRAUB Maia Mei,USA,1.0,5.0
9,2021.0,BIMOVA Andrea,CZE,PALUMBO Francesca,ITA,1.0,5.0
10,2021.0,BIMOVA Andrea,CZE,LOFMARK Linn,SWE,2.0,5.0
11,2021.0,BUDENKO Kateryna,UKR,ELZOHEIRY Mariam,EGY,5.0,2.0
12,2021.0,BUDENKO Kateryna,UKR,WEINTRAUB Maia Mei,USA,1.0,5.0
13,2021.0,BUDENKO Kateryna,UKR,PALUMBO Francesca,ITA,2.0,5.0
14,2021.0,BUDENKO Kateryna,UKR,LOFMARK Linn,SWE,5.0,3.0
15,2021.0,ELZOHEIRY Mariam,EGY,WEINTRAUB Maia Mei,USA,0.0,5.0
16,2021.0,ELZOHEIRY Mariam,EGY,PALUMBO Francesca,ITA,0.0,5.0
17,2021.0,ELZOHEIRY Mariam,EGY,LOFMARK Linn,SWE,1.0,5.0
18,2021.0,WEINTRAUB Maia Mei,USA,PALUMBO Francesca,ITA,5.0,3.0
19,2021.0,WEINTRAUB Maia Mei,USA,LOFMARK Linn,SWE,5.0,1.0
20,2021.0,PALUMBO Francesca,ITA,LOFMARK Linn,SWE,3.0,5.0
21,2021.0,CHO Sabrina,USA,NEMCOVA Stepanka,CZE,4.0,5.0
22,2021.0,CHO Sabrina,USA,CHEN Qingyuan,CHN,2.0,5.0
23,2021.0,CHO Sabrina,USA,HONG Hyo Jin,KOR,5.0,3.0
24,2021.0,CHO Sabrina,USA,FLORES Alejandra,CHI,5.0,1.0
25,2021.0,CHO Sabrina,USA,JELINSKA Martyna,POL,5.0,2.0
26,2021.0,CHO Sabrina,USA,BROT Coralie,FRA,0.0,5.0
27,2021.0,NEMCOVA Stepanka,CZE,CHEN Qingyuan,CHN,1.0,5.0
28,2021.0,NEMCOVA Stepanka,CZE,HONG Hyo Jin,KOR,0.0,5.0
29,2021.0,NEMCOVA Stepanka,CZE,FLORES Alejandra,CHI,4.0,5.0
30,2021.0,NEMCOVA Stepanka,CZE,JELINSKA Martyna,POL,1.0,5.0
31,2021.0,NEMCOVA Stepanka,CZE,BROT Coralie,FRA,0.0,5.0
32,2021.0,CHEN Qingyuan,CHN,HONG Hyo Jin,KOR,5.0,3.0
33,2021.0,CHEN Qingyuan,CHN,FLORES Alejandra,CHI,5.0,0.0
34,2021.0,CHEN Qingyuan,CHN,JELINSKA Martyna,POL,3.0,5.0
35,2021.0,CHEN Qingyuan,CHN,BROT Coralie,FRA,5.0,1.0
36,2021.0,HONG Hyo Jin,KOR,FLORES Alejandra,CHI,5.0,0.0
37,2021.0,HONG Hyo Jin,KOR,JELINSKA Martyna,POL,5.0,2.0
38,2021.0,HONG Hyo Jin,KOR,BROT Coralie,FRA,2.0,5.0
39,2021.0,FLORES Alejandra,CHI,JELINSKA Martyna,POL,4.0,5.0
40,2021.0,FLORES Alejandra,CHI,BROT Coralie,FRA,4.0,5.0
41,2021.0,JELINSKA Martyna,POL,BROT Coralie,FRA,1.0,5.0
42,2021.0,CALUGAREANU Malina,ROU,YUSOVA Victoria,RUS,0.0,0.0
43,2021.0,CALUGAREANU Malina,ROU,KREISS Fanni,HUN,1.0,5.0
44,2021.0,CALUGAREANU Malina,ROU,MONACO Beatrice,ITA,5.0,2.0
45,2021.0,CALUGAREANU Malina,ROU,KIRSTEN Ines,AUT,5.0,0.0
46,2021.0,CALUGAREANU Malina,ROU,BEHR Leandra,GER,5.0,4.0
47,2021.0,CALUGAREANU Malina,ROU,HENAFF Ilona,FRA,2.0,5.0
48,2021.0,YUSOVA Victoria,RUS,KREISS Fanni,HUN,0.0,0.0
49,2021.0,YUSOVA Victoria,RUS,MONACO Beatrice,ITA,0.0,0.0
50,2021.0,YUSOVA Victoria,RUS,KIRSTEN Ines,AUT,0.0,0.0
51,2021.0,YUSOVA Victoria,RUS,BEHR Leandra,GER,0.0,0.0
52,2021.0,YUSOVA Victoria,RUS,HENAFF Ilona,FRA,0.0,0.0
53,2021.0,KREISS Fanni,HUN,MONACO Beatrice,ITA,5.0,4.0
54,2021.0,KREISS Fanni,HUN,KIRSTEN Ines,AUT,5.0,3.0
55,2021.0,KREISS Fanni,HUN,BEHR Leandra,GER,5.0,1.0
56,2021.0,KREISS Fanni,HUN,HENAFF Ilona,FRA,5.0,1.0
57,2021.0,MONACO Beatrice,ITA,KIRSTEN Ines,AUT,5.0,4.0
58,2021.0,MONACO Beatrice,ITA,BEHR Leandra,GER,5.0,1.0
59,2021.0,MONACO Beatrice,ITA,HENAFF Ilona,FRA,5.0,1.0
60,2021.0,KIRSTEN Ines,AUT,BEHR Leandra,GER,3.0,5.0
61,2021.0,KIRSTEN Ines,AUT,HENAFF Ilona,FRA,1.0,5.0
62,2021.0,BEHR Leandra,GER,HENAFF Ilona,FRA,5.0,3.0
63,2021.0,ABUJBARA Amira,QAT,LUPKOVICS Dora,HUN,1.0,5.0
64,2021.0,ABUJBARA Amira,QAT,WANGLEMBAM Thoibi Devi,IND,3.0,5.0
65,2021.0,ABUJBARA Amira,QAT,NISHIOKA Shiho,JPN,0.0,5.0
66,2021.0,ABUJBARA Amira,QAT,BOUBAKRI Ines,TUN,0.0,5.0
67,2021.0,ABUJBARA Amira,QAT,CHRZANOWSKA Marika,POL,0.0,5.0
68,2021.0,ABUJBARA Amira,QAT,CHENG Hiu Wai Valerie,HKG,1.0,5.0
69,2021.0,LUPKOVICS Dora,HUN,WANGLEMBAM Thoibi Devi,IND,5.0,0.0
70,2021.0,LUPKOVICS Dora,HUN,NISHIOKA Shiho,JPN,5.0,4.0
71,2021.0,LUPKOVICS Dora,HUN,BOUBAKRI Ines,TUN,4.0,5.0
72,2021.0,LUPKOVICS Dora,HUN,CHRZANOWSKA Marika,POL,2.0,5.0
73,2021.0,LUPKOVICS Dora,HUN,CHENG Hiu Wai Valerie,HKG,5.0,3.0
74,2021.0,WANGLEMBAM Thoibi Devi,IND,NISHIOKA Shiho,JPN,0.0,5.0
75,2021.0,WANGLEMBAM Thoibi Devi,IND,BOUBAKRI Ines,TUN,3.0,5.0
76,2021.0,WANGLEMBAM Thoibi Devi,IND,CHRZANOWSKA Marika,POL,1.0,5.0
77,2021.0,WANGLEMBAM Thoibi Devi,IND,CHENG Hiu Wai Valerie,HKG,2.0,5.0
78,2021.0,NISHIOKA Shiho,JPN,BOUBAKRI Ines,TUN,4.0,3.0
79,2021.0,NISHIOKA Shiho,JPN,CHRZANOWSKA Marika,POL,5.0,0.0
80,2021.0,NISHIOKA Shiho,JPN,CHENG Hiu Wai Valerie,HKG,4.0,5.0
81,2021.0,BOUBAKRI Ines,TUN,CHRZANOWSKA Marika,POL,5.0,3.0
82,2021.0,BOUBAKRI Ines,TUN,CHENG Hiu Wai Valerie,HKG,3.0,5.0
83,2021.0,CHRZANOWSKA Marika,POL,CHENG Hiu Wai Valerie,HKG,5.0,3.0
84,2021.0,ISBIR Alisa,TUR,ACURERO GONZALEZ Anabella,VEN,5.0,3.0
85,2021.0,ISBIR Alisa,TUR,CIPRESSA Erica,ITA,1.0,5.0
86,2021.0,ISBIR Alisa,TUR,GIL PINERO Paola Carolina,PER,5.0,1.0
87,2021.0,ISBIR Alisa,TUR,WOHLGEMUTH Olivia,AUT,1.0,5.0
88,2021.0,ISBIR Alisa,TUR,MARINO Maria,ESP,4.0,5.0
89,2021.0,ISBIR Alisa,TUR,KANO Minami,JPN,2.0,5.0
90,2021.0,ACURERO GONZALEZ Anabella,VEN,CIPRESSA Erica,ITA,1.0,5.0
91,2021.0,ACURERO GONZALEZ Anabella,VEN,GIL PINERO Paola Carolina,PER,5.0,0.0
92,2021.0,ACURERO GONZALEZ Anabella,VEN,WOHLGEMUTH Olivia,AUT,5.0,1.0
93,2021.0,ACURERO GONZALEZ Anabella,VEN,MARINO Maria,ESP,3.0,5.0
94,2021.0,ACURERO GONZALEZ Anabella,VEN,KANO Minami,JPN,1.0,5.0
95,2021.0,CIPRESSA Erica,ITA,GIL PINERO Paola Carolina,PER,5.0,4.0
96,2021.0,CIPRESSA Erica,ITA,WOHLGEMUTH Olivia,AUT,5.0,3.0
97,2021.0,CIPRESSA Erica,ITA,MARINO Maria,ESP,5.0,4.0
98,2021.0,CIPRESSA Erica,ITA,KANO Minami,JPN,5.0,4.0
99,2021.0,GIL PINERO Paola Carolina,PER,WOHLGEMUTH Olivia,AUT,0.0,5.0
100,2021.0,GIL PINERO Paola Carolina,PER,MARINO Maria,ESP,4.0,5.0
101,2021.0,GIL PINERO Paola Carolina,PER,KANO Minami,JPN,1.0,5.0
102,2021.0,WOHLGEMUTH Olivia,AUT,MARINO Maria,ESP,1.0,5.0
103,2021.0,WOHLGEMUTH Olivia,AUT,KANO Minami,JPN,2.0,5.0
104,2021.0,MARINO Maria,ESP,KANO Minami,JPN,2.0,5.0
105,2021.0,MO Jandee,KOR,LAISHRAM Khusboorani,IND,5.0,2.0
106,2021.0,MO Jandee,KOR,CENKER Freya,AUT,3.0,5.0
107,2021.0,MO Jandee,KOR,GOLDIE Alanna,CAN,4.0,5.0
108,2021.0,MO Jandee,KOR,DUBROVICH Jacqueline,USA,0.0,5.0
109,2021.0,MO Jandee,KOR,CHENTSOVA Kateryna,UKR,3.0,5.0
110,2021.0,MO Jandee,KOR,BITTEROVA Kitti,SVK,4.0,5.0
111,2021.0,LAISHRAM Khusboorani,IND,CENKER Freya,AUT,4.0,5.0
112,2021.0,LAISHRAM Khusboorani,IND,GOLDIE Alanna,CAN,1.0,5.0
113,2021.0,LAISHRAM Khusboorani,IND,DUBROVICH Jacqueline,USA,0.0,5.0
114,2021.0,LAISHRAM Khusboorani,IND,CHENTSOVA Kateryna,UKR,0.0,5.0
115,2021.0,LAISHRAM Khusboorani,IND,BITTEROVA Kitti,SVK,1.0,5.0
116,2021.0,CENKER Freya,AUT,GOLDIE Alanna,CAN,4.0,5.0
117,2021.0,CENKER Freya,AUT,DUBROVICH Jacqueline,USA,2.0,5.0
118,2021.0,CENKER Freya,AUT,CHENTSOVA Kateryna,UKR,5.0,1.0
119,2021.0,CENKER Freya,AUT,BITTEROVA Kitti,SVK,5.0,4.0
120,2021.0,GOLDIE Alanna,CAN,DUBROVICH Jacqueline,USA,4.0,5.0
121,2021.0,GOLDIE Alanna,CAN,CHENTSOVA Kateryna,UKR,4.0,5.0
